,_id,count,display_url,"function (description, open = """", blocking = TRUE, encoding = getOption(""encoding""), method = getOption(""url.method"", ""default"")) 
{
    method <- match.arg(method, c(""default"", ""internal"", ""libcurl"", ""wininet""))
    .Internal(url(description, open, blocking, encoding, method))
}"
141,https://twitter.com/ukmoments/status/961134036424056832,49,https://twitter.com/ukmoments/status/961134036424056832,https://twitter.com/ukmoments/status/961134036424056832
142,http://wef.ch/2oaGYtP,48,http://wef.ch/2oaGYtP,http://wef.ch/2oaGYtP
143,https://www.mirror.co.uk/news/uk-news/trump-supporting-politician-sparks-outrage-12006200,47,https://www.mirror.co.uk/news/uk-news/trump-supporting-politician-sparks-outrage-12006200,https://www.mirror.co.uk/news/uk-news/trump-supporting-politician-sparks-outrage-12006200
144,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw&__twitter_impression=true,47,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw&__twitter_impression=true,https://amp.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw&__twitter_impression=true
145,http://www.nhm.ac.uk/discover/cheddar-man-mesolithic-britain-blue-eyed-boy.html,47,http://www.nhm.ac.uk/discover/cheddar-man-mesolithic-britain-blue-eyed-boy.html,http://www.nhm.ac.uk/discover/cheddar-man-mesolithic-britain-blue-eyed-boy.html
146,https://trib.al/kQk44BP,47,https://trib.al/kQk44BP,https://trib.al/kQk44BP
147,https://twitter.com/astroehlein/status/961211179422158849,47,https://twitter.com/astroehlein/status/961211179422158849,https://twitter.com/astroehlein/status/961211179422158849
148,https://sptnkne.ws/gE5M,47,https://sptnkne.ws/gE5M,https://sptnkne.ws/gE5M
149,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-had-dark-skin-1180659,47,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-had-dark-skin-1180659,https://www.derbytelegraph.co.uk/news/uk-world-news/cheddar-man-had-dark-skin-1180659
150,https://news.sky.com/story/cheddar-man-first-modern-briton-had-dark-skin-and-blue-eyes-dna-analysis-shows-11239770,46,https://news.sky.com/story/cheddar-man-first-modern-briton-had-dark-skin-and-blue-eyes-dna-analysis-shows-11239770,https://news.sky.com/story/cheddar-man-first-modern-briton-had-dark-skin-and-blue-eyes-dna-analysis-shows-11239770
151,http://wef.ch/2FdfWt1,46,http://wef.ch/2FdfWt1,http://wef.ch/2FdfWt1
152,https://www.dailyrecord.co.uk/news/uk-world-news/its-mcmummy-chinese-unearth-4000-year-old-1095669,45,https://www.dailyrecord.co.uk/news/uk-world-news/its-mcmummy-chinese-unearth-4000-year-old-1095669,https://www.dailyrecord.co.uk/news/uk-world-news/its-mcmummy-chinese-unearth-4000-year-old-1095669
153,http://newsthump.com/2018/02/07/cheddar-man-probably-uks-first-benefit-tourist-insists-nigel-farage/,44,http://newsthump.com/2018/02/07/cheddar-man-probably-uks-first-benefit-tourist-insists-nigel-farage/,http://newsthump.com/2018/02/07/cheddar-man-probably-uks-first-benefit-tourist-insists-nigel-farage/
154,https://trib.al/MrxHASr,44,https://trib.al/MrxHASr,https://trib.al/MrxHASr
155,http://edition.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html,43,http://edition.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html,http://edition.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html
156,https://twitter.com/BBCNews/status/961265382408454144,43,https://twitter.com/BBCNews/status/961265382408454144,https://twitter.com/BBCNews/status/961265382408454144
157,https://trib.al/KrJRtXt,43,https://trib.al/KrJRtXt,https://trib.al/KrJRtXt
158,anonymised,43,anonymised,anonymised
159,http://www.thewizardofleather.com,43,http://www.thewizardofleather.com,http://www.thewizardofleather.com
160,http://www.sci-tech-today.com/story.xhtml?story_id=0220018SHKAM,42,http://www.sci-tech-today.com/story.xhtml?story_id=0220018SHKAM,http://www.sci-tech-today.com/story.xhtml?story_id=0220018SHKAM
